id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
ATG9B	4	0.00033976	0.0005923	0.298955	23	2	-0.76218	0.80219	0.89396	1.0	15314	1	-0.76218
HSPE1-MOB4	4	0.00039014	0.00072386	0.298955	24	2	-0.68099	0.4459	0.72994	1.0	11208	1	-0.68099
MFN2	4	0.00041015	0.00083678	0.298955	25	4	-1.3855	0.99959	0.99985	1.0	19106	0	-1.3855
PAQR7	4	0.00041361	0.00083678	0.298955	26	4	-0.78568	0.99959	0.99985	1.0	19105	0	-0.78568
ANKRD1	4	0.00042467	0.00086371	0.298955	27	4	-1.5432	0.99684	0.99901	1.0	19051	0	-1.5432
ZNF625	4	0.00042577	0.00086423	0.298955	28	3	-1.2677	0.81991	0.90449	1.0	15620	1	-1.2677
ZNF354B	4	0.00044215	0.00098544	0.298955	29	2	-0.053389	0.3281	0.62604	1.0	8953	1	-0.053389
INSIG2	4	0.00044485	0.00098596	0.298955	30	3	-1.0637	0.62712	0.80699	1.0	13063	1	-1.0637
CTC1	4	0.00044878	0.00098596	0.298955	31	4	-1.8065	0.99955	0.99983	1.0	19104	0	-1.8065
RAPGEF3	4	0.00046306	0.0011077	0.298955	32	4	-1.2203	0.99954	0.99983	1.0	19103	0	-1.2203
WDHD1	4	0.00046431	0.0011077	0.298955	33	4	-1.5449	0.99884	0.99964	1.0	19087	0	-1.5449
SLFN11	4	0.0004755	0.0011082	0.298955	34	4	-0.84211	0.99952	0.99983	1.0	19102	0	-0.84211
TGFA	4	0.00048924	0.001232	0.298955	35	2	-0.41896	0.27058	0.57464	1.0	7863	2	-0.41896
KRT27	4	0.00049334	0.001232	0.298955	36	4	-1.383	0.99951	0.99983	1.0	19101	0	-1.383
TYR	4	0.00049415	0.001232	0.298955	37	2	-0.11597	0.24285	0.55068	1.0	7331	2	-0.11597
TLR3	4	0.00050045	0.0012325	0.298955	38	2	-0.39761	0.31523	0.61008	1.0	8714	2	-0.39761
FAM65A	4	0.00050088	0.0012325	0.298955	39	3	-1.5303	0.81957	0.90449	1.0	15614	1	-1.5303
USP17L2	4	0.00050609	0.0012325	0.298955	40	4	-1.295	0.99598	0.99857	1.0	19032	0	-1.295
ONECUT1	4	0.00050893	0.0012382	0.298955	41	4	-1.1773	0.99121	0.99699	1.0	18934	0	-1.1773
CSNK2A1	4	0.00053335	0.0012594	0.298955	42	2	-0.61601	0.45822	0.74593	1.0	11445	1	-0.61601
ZNF280B	4	0.0005421	0.0012812	0.298955	43	4	-1.2784	0.98557	0.99522	1.0	18829	0	-1.2784
ZSWIM5	4	0.00054616	0.0012812	0.298955	44	3	-0.77199	0.82142	0.90513	1.0	15649	1	-0.77199
NDUFAF6	4	0.00056578	0.0012817	0.298955	45	3	-0.98678	0.40635	0.69586	1.0	10486	1	-0.98678
TPO	4	0.00059788	0.0013283	0.298955	46	4	-0.85245	0.9994	0.9998	1.0	19100	0	-0.85245
TOP1MT	4	0.00059816	0.0013283	0.298955	47	3	-0.82291	0.95969	0.98708	1.0	18331	0	-0.82291
PNKP	4	0.00060367	0.0013289	0.298955	48	4	-1.6273	0.9994	0.9998	1.0	19099	0	-1.6273
RAD51D	3	0.00060468	0.00082331	0.298955	49	2	-0.61421	0.52826	0.69333	1.0	12128	1	-0.61421
MARS2	4	0.00062226	0.0013408	0.298955	50	3	-1.6007	0.96898	0.99015	1.0	18502	0	-1.6007
WDR77	4	0.0006478	0.0013454	0.298955	51	3	-1.3527	0.96754	0.98938	1.0	18476	0	-1.3527
PTPRR	4	0.00065016	0.0013459	0.298955	52	2	0.034688	0.32521	0.62345	1.0	8894	2	0.034688
MVB12A	4	0.00065582	0.0013568	0.298955	53	3	-0.93091	0.91144	0.96224	1.0	17352	0	-0.93091
HES3	4	0.00070216	0.0015334	0.298955	54	3	-1.2637	0.83772	0.91702	1.0	15937	0	-1.2637
C1orf109	4	0.00070935	0.0015334	0.298955	55	4	-1.3004	0.99929	0.99975	1.0	19098	0	-1.3004
GATB	4	0.0007144	0.0015334	0.298955	56	3	-1.2578	0.75825	0.86785	1.0	14632	1	-1.2578
IL17REL	4	0.00073363	0.0015614	0.298955	57	4	-1.5299	0.99927	0.99974	1.0	19097	0	-1.5299
FAM169A	4	0.00073919	0.0015614	0.298955	58	3	-1.0785	0.97798	0.99313	1.0	18671	0	-1.0785
KDM1A	4	0.0007404	0.0015614	0.298955	59	2	-0.59223	0.42399	0.70963	1.0	10790	1	-0.59223
PCSK7	4	0.00074263	0.0015614	0.298955	60	3	-1.2977	0.64573	0.81573	1.0	13263	1	-1.2977
VPS26A	4	0.00074482	0.0015614	0.298955	61	4	-0.99695	0.99926	0.99974	1.0	19096	0	-0.99695
VAMP4	4	0.00077462	0.0015697	0.298955	62	4	-1.7479	0.99596	0.99854	1.0	19031	0	-1.7479
NAA30	4	0.00079971	0.0015775	0.298955	63	3	-1.2986	0.84568	0.92363	1.0	16088	0	-1.2986
CD52	4	0.00081848	0.0016034	0.298955	64	3	-1.7033	0.88115	0.94453	1.0	16785	0	-1.7033
ATP7A	4	0.00084454	0.0016251	0.298955	65	3	-0.7064	0.93639	0.97745	1.0	17864	0	-0.7064
PPP1R14A	4	0.000853	0.0016256	0.298955	66	4	-1.4979	0.99915	0.99973	1.0	19095	0	-1.4979
MDH1	4	0.0008637	0.0016531	0.298955	67	4	-1.0284	0.99914	0.99973	1.0	19094	0	-1.0284
RAB10	4	0.00087582	0.0016588	0.298955	68	4	-0.81611	0.99912	0.99972	1.0	19093	0	-0.81611
KHDRBS1	4	0.00088324	0.0016593	0.298955	69	3	-1.0941	0.25939	0.56384	1.0	7659	1	-1.0941
DNAJB6	4	0.00088697	0.0016593	0.298955	70	2	-0.45471	0.1089	0.34863	1.0	4394	2	-0.45471
CCDC70	4	0.00089589	0.0017023	0.298955	71	3	-0.90864	0.76835	0.8735	1.0	14782	1	-0.90864
MUC6	4	0.00091014	0.0017298	0.298955	72	1	-0.098303	0.68349	0.83246	1.0	13671	1	-0.098303
MAP3K4	4	0.00092121	0.0017355	0.298955	73	3	-1.1044	0.84517	0.92301	1.0	16080	0	-1.1044
POC1B-GALNT4	3	0.00093236	0.0010108	0.298955	74	2	-1.7939	0.76369	0.86263	1.0	14710	0	-1.7939
TMEM261	4	0.00094702	0.0017531	0.298955	75	4	-2.2478	0.99905	0.99968	1.0	19092	0	-2.2478
FAM161A	4	0.00096213	0.0017531	0.298955	76	3	-0.60126	0.4305	0.71548	1.0	10907	1	-0.60126
BCO2	4	0.00096902	0.0017536	0.298955	77	3	-1.0396	0.81978	0.90449	1.0	15617	1	-1.0396
PRSS42	4	0.00097618	0.0017536	0.298955	78	3	-1.2414	0.72459	0.84992	1.0	14177	1	-1.2414
USP17L15	4	0.0010072	0.0017986	0.298955	79	4	-1.5135	0.98522	0.99507	1.0	18818	0	-1.5135
MAGI1	4	0.0010121	0.0017986	0.298955	80	4	-0.72788	0.99899	0.99966	1.0	19091	0	-0.72788
CHRD	4	0.0010141	0.0017992	0.298955	81	2	-0.066818	0.86361	0.93578	1.0	16442	0	-0.066818
OR12D3	4	0.0010264	0.0017992	0.298955	82	3	-1.0998	0.96363	0.98813	1.0	18392	0	-1.0998
ITPK1	4	0.0010304	0.00181	0.298955	83	4	-0.99568	0.99222	0.99734	1.0	18958	0	-0.99568
SNRNP40	4	0.0010357	0.0018106	0.298955	84	3	-1.0843	0.38417	0.67819	1.0	10040	1	-1.0843
MAPK4	4	0.0010401	0.0018106	0.298955	85	4	-1.2475	0.99896	0.99965	1.0	19090	0	-1.2475
EIF3L	4	0.0010505	0.0018194	0.298955	86	3	-1.33	0.83298	0.91391	1.0	15861	1	-1.33
ZNF569	4	0.0010661	0.0018194	0.298955	87	1	0.32564	0.27197	0.57464	1.0	7889	2	0.32564
BTF3	4	0.0010689	0.0018194	0.298955	88	4	-0.70857	0.98674	0.99583	1.0	18852	0	-0.70857
ZNF627	4	0.0010917	0.0018199	0.298955	89	4	-0.90254	0.99891	0.99964	1.0	19089	0	-0.90254
SLCO6A1	4	0.0011163	0.0018199	0.298955	90	4	-0.96151	0.99888	0.99964	1.0	19088	0	-0.96151
SLC16A3	4	0.0011165	0.0018199	0.298955	91	3	-0.88453	0.93702	0.97767	1.0	17879	0	-0.88453
NAP1L5	4	0.0011181	0.0018199	0.298955	92	3	-0.68272	0.027876	0.14267	1.0	1520	1	-0.68272
OR1Q1	4	0.0011395	0.0018468	0.298955	93	3	-1.1122	0.84235	0.91889	1.0	16029	0	-1.1122
C1orf168	4	0.0011417	0.0018468	0.298955	94	3	-0.6899	0.17929	0.46514	1.0	6132	1	-0.6899
COX17	4	0.0011499	0.0018468	0.298955	95	3	-1.7385	0.93999	0.97946	1.0	17945	0	-1.7385
HLA-E	4	0.0011693	0.0019976	0.298955	96	3	-0.81693	0.60646	0.79904	1.0	12856	1	-0.81693
ZNF507	4	0.0011701	0.0019976	0.298955	97	3	-0.57358	0.83053	0.91013	1.0	15814	1	-0.57358
FAM184A	4	0.001222	0.0020509	0.298955	98	2	0.014966	0.29663	0.60079	1.0	8373	2	0.014966
HBD	4	0.0012431	0.0020509	0.298955	99	2	-0.62018	0.66816	0.82625	1.0	13503	1	-0.62018
FAM174A	4	0.0012719	0.0020509	0.298955	100	2	-0.71393	0.88662	0.9477	1.0	16892	0	-0.71393
PEX7	4	0.001274	0.0020514	0.298955	101	2	-0.22991	0.89938	0.95641	1.0	17124	0	-0.22991
FAM169B	4	0.0012831	0.0020514	0.298955	102	2	-0.72983	0.3212	0.62084	1.0	8823	1	-0.72983
ARC	4	0.0012853	0.0020514	0.298955	103	3	-0.62777	0.92897	0.97425	1.0	17714	0	-0.62777
ATL2	4	0.0012968	0.0020514	0.298955	104	4	-1.4903	0.99501	0.99835	1.0	19017	0	-1.4903
CUBN	4	0.0013039	0.0020514	0.298955	105	4	-1.0327	0.99426	0.99799	1.0	19002	0	-1.0327
CUL7	4	0.0013175	0.0020514	0.298955	106	3	-1.0005	0.34052	0.63909	1.0	9191	1	-1.0005
LZTR1	4	0.001326	0.0020778	0.298955	107	3	-1.0165	0.97354	0.99192	1.0	18589	0	-1.0165
ZNF560	4	0.0013465	0.0020851	0.298955	108	4	-0.88569	0.9841	0.99461	1.0	18799	0	-0.88569
FSIP2	4	0.0013511	0.0020856	0.298955	109	4	-0.92514	0.99865	0.99961	1.0	19086	0	-0.92514
CLEC4C	4	0.0013555	0.0020856	0.298955	110	4	-0.95621	0.99864	0.99961	1.0	19085	0	-0.95621
NAA38	4	0.001378	0.0020903	0.298955	111	3	-1.6613	0.94433	0.98136	1.0	18030	0	-1.6613
FAM135A	4	0.0013834	0.0020903	0.298955	112	2	-0.53931	0.84789	0.92596	1.0	16133	0	-0.53931
METTL21B	4	0.0014017	0.0020908	0.298955	113	3	-0.90837	0.65166	0.81942	1.0	13323	1	-0.90837
FAM8A1	4	0.0014085	0.0021001	0.298955	114	3	-1.0595	0.35618	0.65515	1.0	9479	1	-1.0595
CHST2	4	0.0014299	0.0021162	0.298955	115	2	-0.35357	0.65931	0.82253	1.0	13413	1	-0.35357
YWHAE	4	0.0014325	0.0021162	0.298955	116	3	-1.6463	0.86023	0.93369	1.0	16377	0	-1.6463
TAF6L	4	0.001447	0.0021167	0.298955	117	3	-1.1437	0.96601	0.98855	1.0	18441	0	-1.1437
TSSK6	4	0.001477	0.0021265	0.298955	118	4	-1.4224	0.99852	0.99956	1.0	19083	0	-1.4224
MYZAP	4	0.0014819	0.0021265	0.298955	119	2	-0.57303	0.16083	0.45042	1.0	5765	1	-0.57303
MRPS7	4	0.0015018	0.002139	0.298955	120	2	-0.22484	0.065468	0.25521	1.0	2919	2	-0.22484
PPP3R1	4	0.001513	0.0021395	0.298955	121	4	-0.61238	0.99849	0.99955	1.0	19082	0	-0.61238
LIMCH1	4	0.0015339	0.0021488	0.298955	122	2	-0.71275	0.74547	0.86034	1.0	14450	1	-0.71275
TRPM5	4	0.0015472	0.0021488	0.298955	123	4	-0.9608	0.99845	0.99954	1.0	19081	0	-0.9608
EHD2	4	0.0015481	0.0021488	0.298955	124	2	-0.8264	0.88836	0.94988	1.0	16927	0	-0.8264
KCNIP3	4	0.0015505	0.0021488	0.298955	125	2	-0.34252	0.40346	0.69333	1.0	10425	2	-0.34252
PCDH17	4	0.0015858	0.0021493	0.298955	126	2	-0.69871	0.92866	0.97425	1.0	17708	0	-0.69871
WDR34	4	0.0016075	0.0021643	0.298955	127	4	-1.7664	0.99286	0.99752	1.0	18973	0	-1.7664
RPS6KA6	3	0.0016371	0.0017168	0.298955	128	3	-1.9353	0.99836	0.99937	1.0	19080	0	-1.9353
FUOM	4	0.0016378	0.0022177	0.298955	129	2	-0.5756	0.63967	0.81322	1.0	13193	1	-0.5756
CLK4	4	0.0016427	0.0022177	0.298955	130	2	-0.49101	0.30141	0.60233	1.0	8455	2	-0.49101
MYO18A	4	0.0016444	0.0022177	0.298955	131	3	-0.68817	0.72552	0.84992	1.0	14193	1	-0.68817
GATAD2A	4	0.0016666	0.0022312	0.298955	132	4	-1.1834	0.99833	0.99949	1.0	19079	0	-1.1834
ABCG1	4	0.0016731	0.0022317	0.298955	133	2	-1.0664	0.17911	0.46514	1.0	6130	2	-1.0664
SUPT7L	4	0.0016898	0.0022617	0.298955	134	2	-0.16073	0.52211	0.76799	1.0	12072	1	-0.16073
CCT8	4	0.0017201	0.0022617	0.298955	135	3	-0.89495	0.5472	0.77741	1.0	12292	1	-0.89495
PPP4R1	4	0.0017417	0.0022617	0.298955	136	3	-0.67532	0.91576	0.96623	1.0	17439	0	-0.67532
DHCR24	4	0.0017452	0.0022617	0.298955	137	3	-0.78274	0.867	0.93626	1.0	16500	0	-0.78274
SUMO2	3	0.0017655	0.0019074	0.298955	138	3	-1.2687	0.99823	0.99929	1.0	19078	0	-1.2687
C5AR1	4	0.0017937	0.0022622	0.298955	139	1	0.19893	0.19556	0.48429	1.0	6455	2	0.19893
CATSPERD	4	0.0018118	0.0022622	0.298955	140	4	-1.2604	0.99819	0.99949	1.0	19077	0	-1.2604
RNF130	4	0.0018242	0.0022705	0.298955	141	4	-1.3018	0.99818	0.99948	1.0	19076	0	-1.3018
JRK	4	0.0018267	0.0022705	0.298955	142	2	-0.16909	0.058766	0.24068	1.0	2678	2	-0.16909
IFI6	4	0.0018456	0.0024648	0.298955	143	2	-0.35781	0.68596	0.83495	1.0	13700	1	-0.35781
USP17L8	4	0.0018478	0.0024648	0.298955	144	3	-1.2204	0.43475	0.71967	1.0	10992	1	-1.2204
B3GNT7	4	0.0018612	0.0024653	0.298955	145	3	-0.72102	0.97567	0.99233	1.0	18628	0	-0.72102
ORC4	4	0.0018774	0.0024782	0.298955	146	3	-1.2334	0.7826	0.88149	1.0	15010	1	-1.2334
TFPT	4	0.0018903	0.0024782	0.298955	147	4	-0.88646	0.99811	0.99942	1.0	19075	0	-0.88646
ATP8A1	4	0.0018965	0.0024787	0.298955	148	2	-0.90728	0.83621	0.91578	1.0	15913	1	-0.90728
OR51B2	4	0.0018976	0.0024787	0.298955	149	2	-0.21038	0.24444	0.55143	1.0	7364	2	-0.21038
MRGPRX1	4	0.0019073	0.0024787	0.298955	150	2	-1.1469	0.64136	0.81387	1.0	13215	1	-1.1469
IFFO1	4	0.0019216	0.0024922	0.298955	151	4	-1.4177	0.99808	0.9994	1.0	19074	0	-1.4177
PAGE2B	4	0.0019495	0.0025109	0.298955	152	2	-0.26784	0.70619	0.84489	1.0	13962	1	-0.26784
KCTD17	4	0.0019582	0.0025114	0.298955	153	4	-0.58414	0.99804	0.99938	1.0	19073	0	-0.58414
ATP6AP1L	4	0.0019927	0.0026745	0.298955	154	3	-0.88078	0.95629	0.98562	1.0	18273	0	-0.88078
INPP5E	4	0.0020012	0.0026745	0.298955	155	3	-1.4353	0.82274	0.9064	1.0	15668	1	-1.4353
PTDSS2	4	0.0020015	0.0026745	0.298955	156	1	0.48422	0.090443	0.31512	1.0	3743	2	0.48422
RCC2	4	0.0020115	0.0026745	0.298955	157	3	-1.0429	0.95876	0.98694	1.0	18316	0	-1.0429
OR10G3	4	0.0020119	0.0026745	0.298955	158	3	-1.3449	0.90302	0.95906	1.0	17195	0	-1.3449
CNIH2	4	0.0020338	0.0026751	0.298955	159	4	-0.88769	0.99797	0.99938	1.0	19072	0	-0.88769
RAPGEF2	4	0.0020506	0.0026751	0.298955	160	3	-1.2093	0.55419	0.78055	1.0	12365	1	-1.2093
ARL10	4	0.0020964	0.0027035	0.298955	161	3	-1.2308	0.57463	0.78856	1.0	12547	1	-1.2308
CUL5	4	0.0021035	0.0027041	0.298955	162	4	-1.0667	0.9979	0.99938	1.0	19071	0	-1.0667
TNFAIP1	4	0.002104	0.0027041	0.298955	163	4	-1.159	0.9979	0.99938	1.0	19070	0	-1.159
SYCP2L	4	0.0021054	0.0027041	0.298955	164	3	-0.49175	0.79803	0.89081	1.0	15245	1	-0.49175
CD207	4	0.0021249	0.0027377	0.298955	165	2	-0.75518	0.36277	0.66025	1.0	9616	1	-0.75518
NDUFA1	4	0.0021384	0.0028082	0.298955	166	4	-0.75348	0.99786	0.99935	1.0	19069	0	-0.75348
RBMXL3	4	0.0021479	0.0028237	0.298955	167	2	-0.70809	0.62915	0.80762	1.0	13091	1	-0.70809
NR6A1	4	0.0021565	0.0028237	0.298955	168	3	-1.2276	0.95047	0.98291	1.0	18150	0	-1.2276
AMDHD2	4	0.0021573	0.0028237	0.298955	169	3	-0.66833	0.95135	0.98291	1.0	18170	0	-0.66833
SLC37A2	4	0.002167	0.0028237	0.298955	170	4	-1.3552	0.99783	0.99933	1.0	19068	0	-1.3552
F7	4	0.0021975	0.0028387	0.298955	171	4	-1.2092	0.99516	0.99835	1.0	19021	0	-1.2092
LONRF3	4	0.0022058	0.0028387	0.298955	172	4	-2.0167	0.98666	0.99563	1.0	18851	0	-2.0167
ENPP6	4	0.0022093	0.0028393	0.298955	173	1	0.15521	0.39007	0.67986	1.0	10143	2	0.15521
MX2	4	0.0022236	0.0028393	0.298955	174	3	-1.5646	0.52969	0.77304	1.0	12140	1	-1.5646
TNPO1	4	0.0022612	0.0028579	0.298955	175	3	-0.8305	0.88474	0.94593	1.0	16850	0	-0.8305
ADAM2	4	0.0022783	0.0028579	0.298955	176	4	-0.76598	0.99772	0.99929	1.0	19067	0	-0.76598
PRG3	4	0.0022827	0.0028579	0.298955	177	3	-0.90054	0.45116	0.73446	1.0	11313	1	-0.90054
CLRN3	4	0.0023131	0.0028584	0.298955	178	2	-0.41508	0.41228	0.7028	1.0	10585	1	-0.41508
ELP2	4	0.0023375	0.0028584	0.298955	179	3	-1.2183	0.051045	0.22153	1.0	2407	1	-1.2183
ARSF	4	0.0023651	0.0028584	0.298955	180	3	-0.66422	0.74818	0.86161	1.0	14491	1	-0.66422
POLR3H	4	0.0024049	0.0029107	0.298955	181	3	-1.3462	0.89946	0.95641	1.0	17125	0	-1.3462
POLR2K	4	0.002417	0.0029107	0.298955	182	1	0.55268	0.065493	0.25521	1.0	2920	3	0.55268
CCDC83	4	0.0024689	0.0029594	0.298955	183	2	-0.19853	0.047674	0.21229	1.0	2280	2	-0.19853
MTF1	4	0.0024727	0.0029594	0.298955	184	2	-0.5556	0.61676	0.80335	1.0	12960	1	-0.5556
LRRC46	4	0.0024904	0.0029599	0.298955	185	4	-1.1764	0.99751	0.99925	1.0	19066	0	-1.1764
CEP126	4	0.0024956	0.0029599	0.298955	186	4	-0.88391	0.9975	0.99925	1.0	19065	0	-0.88391
ACTR5	4	0.0024968	0.0029599	0.298955	187	4	-1.0349	0.9975	0.99925	1.0	19064	0	-1.0349
MRPS18C	4	0.0025209	0.003018	0.298955	188	2	-1.1437	0.19448	0.4836	1.0	6435	1	-1.1437
SERPINB5	4	0.002546	0.0030604	0.298955	189	4	-0.84891	0.99745	0.99924	1.0	19063	0	-0.84891
SORCS3	4	0.0025588	0.0030775	0.298955	190	4	-1.24	0.99584	0.99854	1.0	19030	0	-1.24
C19orf12	4	0.0025666	0.003078	0.298955	191	3	-1.9309	0.45832	0.74593	1.0	11448	1	-1.9309
SEC24A	4	0.0025728	0.0030962	0.298955	192	1	1.0186	0.029477	0.1522	1.0	1581	3	1.0186
JAM3	4	0.0025799	0.0030962	0.298955	193	3	-0.64023	0.62458	0.80577	1.0	13039	1	-0.64023
PARP10	4	0.0025923	0.0030962	0.298955	194	4	-1.3793	0.99741	0.9992	1.0	19062	0	-1.3793
HDAC1	4	0.0025943	0.0030962	0.298955	195	3	-0.9572	0.9086	0.96087	1.0	17301	0	-0.9572
COMMD7	4	0.0026101	0.0030967	0.298955	196	3	-0.85591	0.017957	0.11174	1.0	1122	1	-0.85591
UGT2B10	4	0.0026247	0.0030967	0.298955	197	1	0.2928	0.087959	0.30911	1.0	3662	2	0.2928
ULK1	4	0.0026259	0.0030967	0.298955	198	3	-1.4506	0.81582	0.90198	1.0	15545	1	-1.4506
LIPT2	4	0.0026737	0.0032821	0.312249	199	3	-1.5972	0.023028	0.1255	1.0	1326	1	-1.5972
TCP11X2	4	0.0026766	0.0032821	0.312249	200	2	0.077661	0.061607	0.24773	1.0	2779	2	0.077661
BOD1L2	4	0.0027286	0.0032997	0.312249	201	1	-0.052004	0.23709	0.54136	1.0	7232	1	-0.052004
RWDD2A	4	0.0027413	0.0032997	0.312249	202	2	-0.68198	0.82961	0.9095	1.0	15791	1	-0.68198
PSMD2	4	0.0027908	0.0071436	0.590178	203	4	-1.0813	0.99721	0.99913	1.0	19061	0	-1.0813
UGT2B7	4	0.0028041	0.0071436	0.590178	204	4	-0.77531	0.9972	0.99913	1.0	19060	0	-0.77531
TM2D1	4	0.0028196	0.0071441	0.590178	205	2	-0.11472	0.043045	0.19476	1.0	2107	2	-0.11472
UQCRHL	4	0.0028324	0.0073373	0.590178	206	2	-0.94708	0.70338	0.84366	1.0	13930	1	-0.94708
RALY	4	0.0028344	0.0073373	0.590178	207	3	-1.902	0.91958	0.96897	1.0	17525	0	-1.902
PDSS2	4	0.0028346	0.0073373	0.590178	208	4	-1.1549	0.99717	0.99912	1.0	19059	0	-1.1549
UQCRB	4	0.0028427	0.0073373	0.590178	209	2	-1.138	0.93553	0.97722	1.0	17845	0	-1.138
CNGA1	4	0.0028648	0.0073373	0.590178	210	4	-1.0032	0.99714	0.99912	1.0	19058	0	-1.0032
TRIM7	4	0.0028842	0.0073373	0.590178	211	4	-1.2792	0.99712	0.99912	1.0	19057	0	-1.2792
ORAI1	4	0.0029056	0.0073378	0.590178	212	4	-0.66335	0.99709	0.99911	1.0	19056	0	-0.66335
EFCAB11	4	0.0029119	0.0073378	0.590178	213	3	-1.507	0.67038	0.82625	1.0	13522	1	-1.507
FANCC	4	0.0029141	0.0073378	0.590178	214	4	-0.91905	0.99709	0.99911	1.0	19055	0	-0.91905
GRID1	4	0.0029143	0.0073378	0.590178	215	4	-1.1956	0.9821	0.99411	1.0	18757	0	-1.1956
THUMPD2	4	0.0029156	0.0073378	0.590178	216	3	-1.019	0.30992	0.60589	1.0	8616	1	-1.019
SLC43A3	4	0.0029362	0.0073378	0.590178	217	1	-0.12946	0.83698	0.91578	1.0	15927	1	-0.12946
CEP164	4	0.0029881	0.0075181	0.590178	218	2	-0.33506	0.65757	0.82191	1.0	13388	1	-0.33506
PTPN21	4	0.0029896	0.0075181	0.590178	219	4	-1.3957	0.98859	0.9964	1.0	18878	0	-1.3957
TARBP2	4	0.0029945	0.0075186	0.590178	220	3	-0.74003	0.94336	0.98055	1.0	18008	0	-0.74003
ZNF358	4	0.0029997	0.0075186	0.590178	221	2	-0.57401	0.97183	0.99113	1.0	18557	0	-0.57401
COLQ	4	0.00302	0.0075782	0.590178	222	3	-1.0826	0.35359	0.65089	1.0	9431	1	-1.0826
HMBOX1	4	0.003037	0.0075787	0.590178	223	2	-0.46535	0.034835	0.17269	1.0	1780	2	-0.46535
OASL	4	0.00304	0.0075787	0.590178	224	2	0.097318	0.13615	0.42124	1.0	5242	2	0.097318
HIST2H4A	4	0.0030785	0.0077941	0.590178	225	3	-1.1108	0.95931	0.98708	1.0	18323	0	-1.1108
PGA5	4	0.0030919	0.0078102	0.590178	226	2	-0.4505	0.9346	0.97673	1.0	17830	0	-0.4505
NDUFAF7	4	0.0031176	0.0078107	0.590178	227	4	-0.67087	0.99688	0.99904	1.0	19054	0	-0.67087
HAGHL	4	0.0031292	0.0078107	0.590178	228	4	-2.1287	0.99687	0.99904	1.0	19053	0	-2.1287
OR1J1	4	0.0031368	0.0078107	0.590178	229	4	-0.65912	0.99686	0.99904	1.0	19052	0	-0.65912
ANKRD30A	4	0.0031782	0.011583	0.590178	230	2	-0.96196	0.9042	0.95982	1.0	17221	0	-0.96196
GREB1	4	0.0031957	0.011583	0.590178	231	2	-0.18846	0.83434	0.91516	1.0	15884	1	-0.18846
