Name	Description	K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
13652	ENSG00000164032.7	H2AFZ	452.462
13755	ENSG00000109475.12	RPL34	436.564
36117	ENSG00000122026.6	RPL21	431.494
37	ENSG00000248527.1	MTATP6P1	430.926
42164	ENSG00000149925.12	ALDOA	429.71
54949	ENSG00000005022.5	SLC25A5	428.574
54342	ENSG00000198034.6	RPS4X	427.838
49348	ENSG00000063177.8	RPL18	421.021
17036	ENSG00000164587.7	RPS14	420.409
47492	ENSG00000104904.8	OAZ1	419.47
40360	ENSG00000166794.4	PPIB	416.912
15795	ENSG00000145741.11	BTF3	414.71
718	ENSG00000142676.8	RPL11	410.147
34486	ENSG00000229117.4	RPL41	409.756
31601	ENSG00000176340.3	COX8A	407.348
24935	ENSG00000070756.9	PABPC1	404.625
30337	ENSG00000213931.1	HBE1	401.575
51246	ENSG00000171858.13	RPS21	396.561
33722	ENSG00000111716.8	LDHB	392.462
12236	ENSG00000182899.10	RPL35A	391.326
26992	ENSG00000136938.8	ANP32B	379.298
44966	ENSG00000173812.6	EIF1	378.98
54642	ENSG00000241343.5	RPL36A	376.936
47755	ENSG00000233927.4	RPS28	370.799
35452	ENSG00000089009.11	RPL6	363.701
50037	ENSG00000083845.4	RPS5	359.904
1415	ENSG00000173660.7	UQCRH	356.313
9394	ENSG00000144713.8	RPL32	350.245
43025	ENSG00000090861.11	AARS	348.672
18625	ENSG00000137193.9	PIM1	345.515
32086	ENSG00000149273.10	RPS3	343.967
2795	ENSG00000117289.7	TXNIP	336.793
24274	ENSG00000008988.5	RPS20	334.872
13044	ENSG00000109255.7	NMU	333.507
27453	ENSG00000197958.8	RPL12	333.118
827	ENSG00000198830.6	HMGN2	330.884
29122	ENSG00000138326.14	RPS24	327.325
16739	ENSG00000113013.8	HSPA9	324.425
36388	ENSG00000133112.12	TPT1	315.624
10115	ENSG00000162244.6	RPL29	315.413
30670	ENSG00000134333.9	LDHA	315.107
45869	ENSG00000172809.8	RPL38	313.87
45407	ENSG00000243678.7	NME1-NME2	313.742
17582	ENSG00000204628.7	GNB2L1	312.468
52981	ENSG00000128272.10	ATF4	309.196
1188	ENSG00000168653.6	NDUFS5	300.363
46169	ENSG00000185624.10	P4HB	297.09
20863	ENSG00000122566.16	HNRNPA2B1	292.385
19063	ENSG00000227706.3	RP11-301G19.1	288.868
17523	ENSG00000127022.10	CANX	286.841
47636	ENSG00000130255.8	RPL36	286.734
20956	ENSG00000106105.9	GARS	285.515
18410	ENSG00000204387.8	C6orf48	283.625
15970	ENSG00000186468.8	RPS23	283.069
48240	ENSG00000105640.8	RPL18A	281.772
45950	ENSG00000132475.4	H3F3B	278.533
21189	ENSG00000196262.9	PPIA	276.188
8524	ENSG00000114942.9	EEF1B2	274.903
21707	ENSG00000106682.10	EIF4H	272.724
30336	ENSG00000196565.8	HBG2	272.304
47443	ENSG00000115268.5	RPS15	271.065
1391	ENSG00000117450.9	PRDX1	270.519
54960	ENSG00000125356.6	NDUFA1	264.224
29537	ENSG00000099194.5	SCD	263.727
31627	ENSG00000126432.9	PRDX5	262.947
44175	ENSG00000189343.6	RPS2P46	255.689
5989	ENSG00000143933.12	CALM2	254.089
14537	ENSG00000164104.7	HMGB2	252.688
18870	ENSG00000112077.11	RHAG	251.984
44419	ENSG00000198242.9	RPL23A	251.452
44015	ENSG00000170315.9	UBB	245.206
3096	ENSG00000163191.5	S100A11	239.712
30116	ENSG00000177156.6	TALDO1	236.956
53555	ENSG00000130741.6	EIF2S3	235.545
22120	ENSG00000166508.13	MCM7	234.416
43854	ENSG00000161970.8	RPL26	233.3
48265	ENSG00000130513.6	GDF15	232.578
53292	ENSG00000169100.8	SLC25A6	232.375
26724	ENSG00000165119.14	HNRNPK	231.722
52328	ENSG00000128228.4	SDF2L1	228.242
19080	ENSG00000237643.1	RP11-462G2.1	227.329
49459	ENSG00000169136.4	ATF5	224.552
30082	ENSG00000185885.11	IFITM1	223.896
6435	ENSG00000065911.7	MTHFD2	223.273
218	ENSG00000116251.5	RPL22	220.849
8963	ENSG00000187514.10	PTMA	219.768
44019	ENSG00000175061.13	C17orf76-AS1	218.971
24875	ENSG00000156482.6	RPL30	218.69
47383	ENSG00000172270.14	BSG	217.987
18387	ENSG00000204435.9	CSNK2B	216.897
3819	ENSG00000234741.3	GAS5	216.194
51585	ENSG00000156261.8	CCT8	214.441
4757	ENSG00000143761.9	ARF1	214.37
44804	ENSG00000125691.8	RPL23	212.963
38934	ENSG00000080824.14	HSP90AA1	212.289
330	ENSG00000142657.16	PGD	212.198
32834	ENSG00000149428.14	HYOU1	212.129
38785	ENSG00000140105.13	WARS	210.74
48853	ENSG00000167645.12	YIF1B	210.079
8347	ENSG00000144381.12	HSPD1	207.37
52899	ENSG00000100097.7	LGALS1	206.217
42254	ENSG00000089280.14	FUS	204.866
3806	ENSG00000117592.8	PRDX6	204.258
31538	ENSG00000089597.12	GANAB	203.641
28506	ENSG00000169813.12	HNRNPF	203.551
48974	ENSG00000090013.5	BLVRB	202.405
11078	ENSG00000169714.12	CNBP	201.724
49757	ENSG00000170889.9	RPS9	201.427
27521	ENSG00000119335.12	SET	199.779
31673	ENSG00000149806.6	FAU	199.723
9535	ENSG00000174748.14	RPL15	198.881
22588	ENSG00000128524.4	ATP6V1F	198.583
4925	ENSG00000173726.6	TOMM20	196.521
4697	ENSG00000143742.8	SRP9	196.364
35824	ENSG00000132341.7	RAN	195.852
1015	ENSG00000084623.7	EIF3I	195.686
49174	ENSG00000130203.5	APOE	195.539
40547	ENSG00000067225.13	PKM	195.227
49042	ENSG00000105372.2	RPS19	194.031
17459	ENSG00000184840.7	TMED9	193.722
32918	ENSG00000109971.9	HSPA8	193.597
51723	ENSG00000241837.2	ATP5O	192.262
35598	ENSG00000111775.2	COX6A1	191.821
19280	ENSG00000203875.6	SNHG5	191.69
37840	ENSG00000213741.4	RPS29	191.597
8587	ENSG00000138413.9	IDH1	190.069
48539	ENSG00000266976.1	AC079466.1	189.584
27814	ENSG00000188229.5	TUBB4B	188.771
26664	ENSG00000135069.9	PSAT1	186.699
43791	ENSG00000161960.10	EIF4A1	186.64
14959	ENSG00000150753.7	CCT5	183.766
49275	ENSG00000105281.8	SLC1A5	182.556
39987	ENSG00000166710.13	B2M	182.461
35174	ENSG00000075415.8	SLC25A3	181.879
23507	ENSG00000079459.8	FDFT1	180.203
2417	ENSG00000031698.8	SARS	179.43
25064	ENSG00000104408.5	EIF3E	177.488
10021	ENSG00000067560.6	RHOA	175.641
22582	ENSG00000128595.12	CALU	174.711
6179	ENSG00000115484.10	CCT4	174.418
49305	ENSG00000105373.14	GLTSCR2	173.774
10003	ENSG00000178035.7	IMPDH2	173.369
31563	ENSG00000255717.2	SNHG1	172.691
26604	ENSG00000135046.9	ANXA1	172.628
34324	ENSG00000063046.13	EIF4B	172.367
9336	ENSG00000254999.2	BRK1	171.217
27167	ENSG00000136810.8	TXN	168.334
34559	ENSG00000166986.8	MARS	167.733
24430	ENSG00000245910.4	SNHG6	166.386
6926	ENSG00000135940.2	COX5B	165.903
36409	ENSG00000136167.9	LCP1	165.11
34548	ENSG00000182199.6	SHMT2	164.02
16555	ENSG00000169567.7	HINT1	163.733
46895	ENSG00000152234.11	ATP5A1	161.603
28943	ENSG00000180817.7	PPA1	161.079
49217	ENSG00000125743.6	SNRPD2	160.911
50075	ENSG00000101255.6	TRIB3	160.906
4580	ENSG00000136628.13	EPRS	160.472
45909	ENSG00000167863.7	ATP5H	160.401
28909	ENSG00000122862.4	SRGN	158.994
52325	ENSG00000161179.9	YDJC	158.709
31564	ENSG00000168003.12	SLC3A2	158.278
43528	ENSG00000108953.12	YWHAE	158.062
48278	ENSG00000221983.3	UBA52	157.766
3469	ENSG00000158710.10	TAGLN2	157.129
50757	ENSG00000118705.12	RPN2	157.08
18791	ENSG00000112715.16	VEGFA	156.981
48945	ENSG00000105202.3	FBL	155.585
33345	ENSG00000111669.10	TPI1	155.07
6405	ENSG00000135624.11	CCT7	154.161
52206	ENSG00000093009.5	CDC45	154.024
40184	ENSG00000137876.5	RSL24D1	153.908
48731	ENSG00000126267.4	COX6B1	153.861
55590	ENSG00000130830.10	MPP1	152.91
51023	ENSG00000177410.8	ZFAS1	152.811
4443	ENSG00000123689.5	G0S2	152.369
3060	ENSG00000159377.6	PSMB4	152.149
34342	ENSG00000123349.9	PFDN5	151.851
3221	ENSG00000143575.10	HAX1	151.846
631	ENSG00000244038.5	DDOST	151.624
3489	ENSG00000122218.10	COPA	151.32
6254	ENSG00000138071.9	ACTR2	151.262
34172	ENSG00000139644.8	TMBIM6	151.235
12001	ENSG00000156976.10	EIF4A2	151.228
6986	ENSG00000071082.6	RPL31	151.046
9768	ENSG00000114784.3	EIF1B	150.788
34523	ENSG00000110958.11	PTGES3	150.244
52324	ENSG00000185651.10	UBE2L3	148.687
7730	ENSG00000168288.8	MMADHC	148.251
30478	ENSG00000166441.8	RPL27A	146.725
34461	ENSG00000135404.7	CD63	146.548
3971	ENSG00000135821.12	GLUL	145.724
13062	ENSG00000128050.4	PAICS	145.525
565	ENSG00000179051.9	RCC2	145.364
47830	ENSG00000198258.6	UBL5	145.336
47639	ENSG00000196365.7	LONP1	144.812
2578	ENSG00000009307.11	CSDE1	144.755
3183	ENSG00000143621.12	ILF2	144.72
43395	ENSG00000103257.4	SLC7A5	144.658
39953	ENSG00000167004.8	PDIA3	144.516
52193	ENSG00000100075.5	SLC25A1	144.499
54214	ENSG00000147065.12	MSN	143.654
18556	ENSG00000124562.5	SNRPC	143.629
48881	ENSG00000104824.12	HNRNPL	143.628
45921	ENSG00000188612.7	SUMO2	143.462
54303	ENSG00000147140.11	NONO	142.952
43631	ENSG00000074370.13	ATP2A3	142.864
34151	ENSG00000167553.10	TUBA1C	142.825
261	ENSG00000116288.8	PARK7	142.36
18650	ENSG00000124767.6	GLO1	141.696
25519	ENSG00000179091.4	CYC1	141.618
22726	ENSG00000105887.10	MTPN	141.345
43767	ENSG00000132507.13	EIF5A	140.733
42093	ENSG00000178952.4	TUFM	140.323
21770	ENSG00000146701.7	MDH2	138.958
27772	ENSG00000107223.8	EDF1	138.703
3524	ENSG00000143256.4	PFDN2	138.67
46179	ENSG00000183010.12	PYCR1	137.348
47054	ENSG00000134440.7	NARS	137.259
28114	ENSG00000026025.9	VIM	136.924
22547	ENSG00000197157.6	SND1	136.31
54711	ENSG00000102409.9	BEX4	135.793
21343	ENSG00000146731.6	CCT6A	135.666
794	ENSG00000117632.16	STMN1	135.411
51659	ENSG00000142168.10	SOD1	134.228
46321	ENSG00000118680.8	MYL12B	133.807
51841	ENSG00000205581.6	HMGN1	133.679
6341	ENSG00000169564.5	PCBP1	133.28
6080	ENSG00000115310.13	RTN4	133.188
34490	ENSG00000139641.8	ESYT1	132.817
33360	ENSG00000215021.4	PHB2	132.373
50055	ENSG00000130726.7	TRIM28	132.128
8681	ENSG00000197756.5	RPL37A	131.798
4009	ENSG00000198860.7	TSEN15	131.76
43342	ENSG00000131143.4	COX4I1	131.459
34562	ENSG00000175197.6	DDIT3	131.331
5629	ENSG00000084754.6	HADHA	130.618
28916	ENSG00000156515.17	HK1	130.201
35734	ENSG00000150991.10	UBC	129.974
24869	ENSG00000104341.12	LAPTM4B	129.878
21309	ENSG00000132432.9	SEC61G	129.874
52225	ENSG00000099901.12	RANBP1	129.85
48870	ENSG00000178982.5	EIF3K	129.661
34485	ENSG00000170515.9	PA2G4	128.962
41863	ENSG00000134419.11	RPS15A	128.94
5574	ENSG00000115128.6	SF3B14	128.805
29080	ENSG00000165637.9	VDAC2	128.654
12420	ENSG00000179010.10	MRFAP1	128.271
32252	ENSG00000073921.13	PICALM	127.593
54314	ENSG00000147162.9	OGT	127.42
46319	ENSG00000101608.8	MYL12A	127.201
54956	ENSG00000198918.7	RPL39	127.161
31308	ENSG00000149136.3	SSRP1	127.053
20439	ENSG00000008018.8	PSMB1	126.976
47400	ENSG00000011304.12	PTBP1	126.582
23186	ENSG00000186480.8	INSIG1	126.415
34790	ENSG00000166226.8	CCT2	125.852
18785	ENSG00000172432.14	GTPBP2	125.817
30533	ENSG00000110321.11	EIF4G2	125.155
26851	ENSG00000196305.13	IARS	125.035
1378	ENSG00000126088.8	UROD	124.457
27979	ENSG00000165629.15	ATP5C1	124.333
40627	ENSG00000178741.7	COX5A	124.161
16022	ENSG00000127184.6	COX7C	123.73
21781	ENSG00000170027.5	YWHAG	123.548
44875	ENSG00000131747.10	TOP2A	123.248
23043	ENSG00000155660.6	PDIA4	123.1
3314	ENSG00000163479.9	SSR2	122.964
17223	ENSG00000113328.14	CCNG1	122.766
13756	ENSG00000198856.8	OSTC	122.738
3676	ENSG00000143162.7	CREG1	122.726
27639	ENSG00000196205.7	EEF1A1P5	122.71
17781	ENSG00000111843.9	TMEM14C	121.998
47999	ENSG00000167815.7	PRDX2	121.703
50651	ENSG00000125977.6	EIF2S2	121.571
46047	ENSG00000167900.7	TK1	121.498
5395	ENSG00000115758.8	ODC1	121.193
23984	ENSG00000187840.4	EIF4EBP1	121.078
35799	ENSG00000249196.2	RP11-669N7.2	120.578
33	ENSG00000225630.1	MTND2P28	120.073
34350	ENSG00000197111.11	PCBP2	120.056
5406	ENSG00000143870.8	PDIA6	119.926
50202	ENSG00000132646.6	PCNA	119.554
28904	ENSG00000165732.8	DDX21	119.011
35395	ENSG00000111229.11	ARPC3	118.497
18367	ENSG00000198563.9	DDX39B	118.269
31543	ENSG00000162191.9	UBXN1	117.949
52855	ENSG00000100353.13	EIF3D	117.932
34876	ENSG00000187109.9	NAP1L1	117.781
45053	ENSG00000108828.11	VAT1	117.487
18515	ENSG00000112514.11	CUTA	117.069
11937	ENSG00000161203.9	AP2M1	117.026
43680	ENSG00000108518.7	PFN1	116.753
54728	ENSG00000123562.12	MORF4L2	116.643
44693	ENSG00000172660.7	TAF15	116.567
53042	ENSG00000196419.8	XRCC6	115.806
8111	ENSG00000170144.14	HNRNPA3	115.755
1221	ENSG00000131236.12	CAP1	115.295
2527	ENSG00000116489.8	CAPZA1	115.258
18492	ENSG00000112473.12	SLC39A7	115.174
37846	ENSG00000165502.6	RPL36AL	114.731
51917	ENSG00000160200.13	CBS	114.678
24239	ENSG00000187735.8	TCEA1	114.661
53837	ENSG00000147123.10	NDUFB11	114.548
42137	ENSG00000103485.13	QPRT	114.41
1038	ENSG00000134684.6	YARS	113.86
3330	ENSG00000163468.10	CCT3	113.52
22839	ENSG00000106028.6	SSBP1	113.356
45327	ENSG00000167085.7	PHB	113.354
19562	ENSG00000135535.10	CD164	113.29
40739	ENSG00000041357.11	PSMA4	112.759
46268	ENSG00000176890.11	TYMS	112.729
4777	ENSG00000181218.4	HIST3H2A	111.997
49856	ENSG00000108107.8	RPL28	111.972
35440	ENSG00000089248.6	ERP29	111.507
41949	ENSG00000140740.6	UQCRC2	111.504
22543	ENSG00000004059.6	ARF5	111.441
24943	ENSG00000164924.13	YWHAZ	111.184
52659	ENSG00000182944.13	EWSR1	110.991
30598	ENSG00000129084.13	PSMA1	110.859
48650	ENSG00000105220.10	GPI	110.779
26801	ENSG00000123975.4	CKS2	110.46
47527	ENSG00000104964.10	AES	110.167
49175	ENSG00000130208.5	APOC1	109.971
31030	ENSG00000110492.11	MDK	109.938
47610	ENSG00000074842.3	C19orf10	109.884
27942	ENSG00000057608.12	GDI2	109.763
45695	ENSG00000108654.7	DDX5	109.516
8950	ENSG00000115053.11	NCL	109.417
34483	ENSG00000197728.5	RPS26	109.339
29453	ENSG00000236552.1	RPL13AP5	109.086
47423	ENSG00000167468.12	GPX4	108.945
34565	ENSG00000175203.11	DCTN2	108.701
5030	ENSG00000091483.6	FH	108.676
53888	ENSG00000126752.7	SSX1	108.416
55253	ENSG00000147274.10	RBMX	108.321
47847	ENSG00000130811.6	EIF3G	108.318
20045	ENSG00000169976.5	SF3B5	107.949
9820	ENSG00000181061.9	HIGD1A	107.438
20509	ENSG00000106263.13	EIF3B	107.432
44798	ENSG00000108294.4	PSMB3	107.327
20568	ENSG00000075618.13	FSCN1	107.213
20294	ENSG00000120438.7	TCP1	107.183
55556	ENSG00000196924.10	FLNA	107.174
37266	ENSG00000092199.13	HNRNPC	107.049
12250	ENSG00000197701.7	ZNF595	106.778
13936	ENSG00000164111.10	ANXA5	106.573
18762	ENSG00000112667.8	DNPH1	106.19
45280	ENSG00000170689.8	HOXB9	106.007
49263	ENSG00000160014.12	CALM3	105.8
1020	ENSG00000116478.7	HDAC1	105.661
18018	ENSG00000180573.8	HIST1H2AC	105.603
18304	ENSG00000137312.10	FLOT1	105.268
31824	ENSG00000167792.7	NDUFV1	105.113
35602	ENSG00000111786.4	SRSF9	105.111
134	ENSG00000078369.13	GNB1	104.446
9251	ENSG00000134107.4	BHLHE40	104.198
6598	ENSG00000168906.8	MAT2A	104.118
9338	ENSG00000134086.7	VHL	103.892
34322	ENSG00000111057.6	KRT18	103.669
1001	ENSG00000184007.13	PTP4A2	102.992
47672	ENSG00000088247.11	KHSRP	102.566
4781	ENSG00000168159.9	RNF187	102.534
22088	ENSG00000241468.3	ATP5J2	102.462
3051	ENSG00000159352.11	PSMD4	102.359
5090	ENSG00000153187.12	HNRNPU	102.324
38248	ENSG00000100632.6	ERH	101.98
50657	ENSG00000101444.8	AHCY	101.946
49858	ENSG00000108106.9	UBE2S	101.935
31066	ENSG00000165916.4	PSMC3	101.889
49285	ENSG00000142230.7	SAE1	101.856
47765	ENSG00000099783.7	HNRNPM	101.773
17482	ENSG00000197451.6	HNRNPAB	101.659
54450	ENSG00000102144.9	PGK1	101.373
34357	ENSG00000135390.13	ATP5G2	101.329
1531	ENSG00000078618.15	NRD1	101.042
39713	ENSG00000182117.4	NOP10	100.893
2504	ENSG00000116459.6	ATP5F1	100.87
28807	ENSG00000170312.11	CDK1	100.826
4249	ENSG00000077152.5	UBE2T	100.804
17414	ENSG00000146066.2	HIGD2A	100.685
34580	ENSG00000135446.12	CDK4	100.584
48968	ENSG00000105223.14	PLD3	100.479
9972	ENSG00000232112.3	TMA7	100.423
49368	ENSG00000104805.11	NUCB1	100.192
49366	ENSG00000087074.7	PPP1R15A	100.132
34398	ENSG00000111481.5	COPZ1	100.071
18380	ENSG00000204469.8	PRRC2A	99.165
911	ENSG00000130766.4	SESN2	98.919
50607	ENSG00000101367.8	MAPRE1	98.635
20797	ENSG00000196683.6	TOMM7	98.4847
42091	ENSG00000168488.14	ATXN2L	98.3705
52152	ENSG00000131100.8	ATP6V1E1	98.3299
15389	ENSG00000112972.10	HMGCS1	98.1294
51236	ENSG00000101182.10	PSMA7	98.0772
32793	ENSG00000167283.3	ATP5L	97.9066
2073	ENSG00000183291.11	SEP15	97.5493
40911	ENSG00000140612.9	SEC11A	97.4419
51301	ENSG00000125534.5	PPDPF	97.4008
11541	ENSG00000114850.2	SSR3	97.2325
28703	ENSG00000138293.15	NCOA4	97.0355
52908	ENSG00000100129.13	EIF3L	96.5066
30335	ENSG00000213934.5	HBG1	96.4581
52280	ENSG00000099942.8	CRKL	96.4057
3203	ENSG00000143543.10	JTB	96.4015
37428	ENSG00000129562.6	DAD1	96.1908
48274	ENSG00000105701.11	FKBP8	95.8416
25240	ENSG00000147684.3	NDUFB9	95.7176
3015	ENSG00000143384.8	MCL1	95.6727
32203	ENSG00000227097.4	RP11-742N3.1	95.4884
18412	ENSG00000204386.6	NEU1	95.1408
15232	ENSG00000113407.9	TARS	94.9744
16942	ENSG00000133706.13	LARS	94.8442
50125	ENSG00000125835.13	SNRPB	94.4808
53926	ENSG00000102145.9	GATA1	94.3572
25197	ENSG00000147689.12	FAM83A	94.2612
47480	ENSG00000099875.10	MKNK2	94.1701
35705	ENSG00000086598.6	TMED2	93.8748
8652	ENSG00000138363.10	ATIC	93.7126
31693	ENSG00000251562.3	MALAT1	93.6719
27252	ENSG00000136888.6	ATP6V1G1	93.2699
31589	ENSG00000133318.9	RTN3	93.2594
1359	ENSG00000142945.8	KIF2C	93.242
9345	ENSG00000157020.13	SEC13	93.0802
48654	ENSG00000126261.8	UBA2	92.5546
8065	ENSG00000154518.5	ATP5G3	92.5417
34047	ENSG00000134294.9	SLC38A2	92.4662
18382	ENSG00000204463.8	BAG6	92.4656
40230	ENSG00000128918.10	ALDH1A2	91.8016
18291	ENSG00000204568.7	MRPS18B	91.6988
49336	ENSG00000105438.4	KDELR1	91.6894
13442	ENSG00000138668.14	HNRNPD	91.5245
37673	ENSG00000100902.6	PSMA6	91.5078
27658	ENSG00000148248.9	SURF4	91.441
34525	ENSG00000196531.6	NACA	91.4035
48015	ENSG00000179262.5	RAD23A	91.3927
16623	ENSG00000213585.6	VDAC1	90.9131
47409	ENSG00000198858.5	R3HDM4	90.8656
4359	ENSG00000069275.12	NUCKS1	90.8508
1004	ENSG00000121774.13	KHDRBS1	90.6939
31333	ENSG00000211450.5	C11orf31	90.5336
20591	ENSG00000136238.13	RAC1	90.5132
18406	ENSG00000204392.6	LSM2	90.3534
48078	ENSG00000099795.2	NDUFB7	90.0964
27013	ENSG00000106803.5	SEC61B	90.0459
19531	ENSG00000112335.10	SNX3	90.0218
43173	ENSG00000065427.10	KARS	89.9988
18904	ENSG00000112118.13	MCM3	89.9454
48217	ENSG00000130303.8	BST2	89.8221
2606	ENSG00000163399.11	ATP1A1	89.7786
17749	ENSG00000239264.4	TXNDC5	89.2643
51847	ENSG00000185437.9	SH3BGR	89.1566
55587	ENSG00000130826.11	DKC1	89.1348
17889	ENSG00000124795.10	DEK	89.1344
11039	ENSG00000058262.5	SEC61A1	89.0735
29830	ENSG00000107581.8	EIF3A	88.9664
10165	ENSG00000163931.11	TKT	88.9321
8653	ENSG00000115414.14	FN1	88.8147
20593	ENSG00000136240.5	KDELR2	88.8006
45234	ENSG00000108424.5	KPNB1	88.4416
34503	ENSG00000062485.14	CS	88.3315
11055	ENSG00000075785.8	RAB7A	88.1704
45775	ENSG00000182481.4	KPNA2	88.0919
41483	ENSG00000103363.10	TCEB2	87.9696
10640	ENSG00000081154.7	PCNP	87.941
492	ENSG00000233954.4	RP11-169K16.7	87.7086
52935	ENSG00000100201.14	DDX17	87.4144
7864	ENSG00000115233.7	PSMD14	87.354
14980	ENSG00000112977.11	DAP	87.2618
50575	ENSG00000088325.11	TPX2	86.6277
5369	ENSG00000134308.9	YWHAQ	86.5474
48313	ENSG00000186010.14	NDUFA13	86.3054
33102	ENSG00000084234.12	APLP2	86.1937
19158	ENSG00000112695.7	COX7A2	86.0103
9398	ENSG00000132182.7	NUP210	85.9083
1048	ENSG00000004455.12	AK2	85.6955
52203	ENSG00000070010.14	UFD1L	85.6407
43429	ENSG00000198931.6	APRT	85.4389
34680	ENSG00000184575.7	XPOT	85.3766
36150	ENSG00000132963.7	POMP	85.3524
2682	ENSG00000092621.7	PHGDH	85.3358
24086	ENSG00000078668.9	VDAC3	85.095
46421	ENSG00000178127.8	NDUFV2	85.0114
15689	ENSG00000153044.5	CENPH	84.9978
21172	ENSG00000106628.6	POLD2	84.9278
44854	ENSG00000108344.10	PSMD3	84.8914
20845	ENSG00000172115.4	CYCS	84.716
33046	ENSG00000182934.7	SRPR	84.6405
37925	ENSG00000087302.4	C14orf166	84.6172
1840	ENSG00000116717.7	GADD45A	84.4211
53948	ENSG00000102007.6	PLP2	84.366
28772	ENSG00000122952.12	ZWINT	84.3478
31609	ENSG00000149781.8	FERMT3	84.0262
53010	ENSG00000100380.8	ST13	83.9278
936	ENSG00000159023.14	EPB41	83.9236
34321	ENSG00000170421.7	KRT8	83.8099
49395	ENSG00000104852.10	SNRNP70	83.7947
4703	ENSG00000143811.12	PYCR2	83.7903
908	ENSG00000130770.13	ATPIF1	83.6955
